Training Error: 0.020000	
count,zeroprob	0	0
0010.2003-12-18.GP	-15.169600	-16.658759
0010.2001-06-28.SA_and_HP	-2849.832563	-2580.608804
0001.2000-01-17.beck	-2769.597025	-3286.915589
0018.1999-12-14.kaminski	-806.859479	-812.082096
0005.1999-12-12.kaminski	-439.889532	-521.289855
0011.2001-06-29.SA_and_HP	-14970.017660	-13156.279116
0008.2004-08-01.BG	-3703.990612	-3474.178015
0009.1999-12-14.farmer	-383.937997	-450.869066
0017.2003-12-18.GP	-159.088673	-147.322627
0011.2001-06-28.SA_and_HP	-1229.918209	-1112.181681
0015.2001-07-05.SA_and_HP	-862.563193	-789.008878
0015.2001-02-12.kitchen	-4014.751533	-4389.156067
0009.2001-06-26.SA_and_HP	-993.570765	-927.208692
0017.1999-12-14.kaminski	-301.944797	-309.292003
0012.2000-01-17.beck	-2637.871832	-3254.060872
0003.2000-01-17.beck	-1078.483489	-1310.072828
0004.2001-06-12.SA_and_HP	-868.637752	-788.705106
0008.2001-06-12.SA_and_HP	-868.637752	-788.705106
0007.2001-02-09.kitchen	-1270.395253	-1397.262276
0016.2004-08-01.BG	-519.870537	-469.014021
0015.2000-06-09.lokay	-118.268870	-123.130618
0005.1999-12-14.farmer	-940.573919	-1223.542436
0016.1999-12-15.farmer	-649.832079	-691.516450
0013.2004-08-01.BG	-978.098195	-925.623005
0005.2003-12-18.GP	-5292.278054	-4837.298752
0012.2001-02-09.kitchen	-343.594814	-368.600320
0003.2001-02-08.kitchen	-1102.956774	-1310.120221
0009.2001-02-09.kitchen	-4588.517052	-5159.862634
0006.2001-02-08.kitchen	-7584.035838	-8176.341411
0014.2003-12-19.GP	-119.863143	-111.297579
0010.1999-12-14.farmer	-801.094858	-1193.947671
0010.2004-08-01.BG	-1659.758984	-1458.311753
0014.1999-12-14.kaminski	-1580.916647	-1974.314808
0006.1999-12-13.kaminski	-356.283376	-370.034796
0011.1999-12-14.farmer	-1548.494272	-1698.594143
0013.1999-12-14.kaminski	-1179.100045	-1544.533719
0001.2001-02-07.kitchen	-290.669953	-343.798165
0008.2001-02-09.kitchen	-2331.436280	-2927.012999
0007.2003-12-18.GP	-608.327268	-564.666097
0017.2004-08-02.BG	-1956.415904	-1850.092309
0014.2004-08-01.BG	-381.579498	-362.060641
0006.2003-12-18.GP	-558.121537	-525.817076
0016.2001-07-05.SA_and_HP	-862.563193	-789.008878
0008.2003-12-18.GP	-794.331861	-710.079229
0014.2001-07-04.SA_and_HP	-3118.036850	-2822.828308
0001.2001-04-02.williams	-1014.278637	-1028.136738
0012.2000-06-08.lokay	-674.203814	-676.575990
0014.1999-12-15.farmer	-916.795576	-1073.477826
0009.2000-06-07.lokay	-1897.420033	-2169.201872
0001.1999-12-10.farmer	-24.043393	-26.315386
0008.2001-06-25.SA_and_HP	-3933.973949	-3405.315016
0017.2001-04-03.williams	-332.671326	-336.930913
0014.2001-02-12.kitchen	-888.005590	-999.818067
0016.2001-07-06.SA_and_HP	-16613.762750	-14476.834281
0015.1999-12-15.farmer	-643.602120	-784.258437
0009.1999-12-13.kaminski	-5735.757760	-8266.987828
0001.2000-06-06.lokay	-3053.526175	-3435.308279
0011.2004-08-01.BG	-425.212785	-387.447241
0004.2004-08-01.BG	-423.847576	-402.167585
0018.2003-12-18.GP	-2626.641477	-2463.897063
0002.1999-12-13.farmer	-2281.425472	-2731.423953
0016.2003-12-19.GP	-361.690901	-333.421685
0004.1999-12-14.farmer	-985.626659	-1333.320666
0015.2003-12-19.GP	-1072.896822	-960.927565
0006.2004-08-01.BG	-645.976217	-602.063466
0009.2003-12-18.GP	-358.631913	-332.404984
0007.1999-12-14.farmer	-453.119111	-513.346899
0005.2000-06-06.lokay	-220.118758	-219.300584
0010.1999-12-14.kaminski	-149.605557	-168.715591
0007.2000-01-17.beck	-2622.636950	-3239.883207
0003.1999-12-14.farmer	-74.767544	-92.219122
0003.2004-08-01.BG	-449.308868	-414.711983
0017.2004-08-01.BG	-121.319297	-111.618104
0013.2001-06-30.SA_and_HP	-27003.730322	-23800.516692
0003.1999-12-10.kaminski	-343.971004	-395.329648
0012.1999-12-14.farmer	-2654.828232	-3117.290293
0004.1999-12-10.kaminski	-821.783098	-944.703992
0018.2001-07-13.SA_and_HP	-2807.084205	-2612.452132
0002.2001-02-07.kitchen	-335.394502	-340.484921
0007.2004-08-01.BG	-1266.259597	-1070.500092
0012.1999-12-14.kaminski	-886.991669	-1208.203126
0005.2001-06-23.SA_and_HP	-136.814838	-126.474070
0007.1999-12-13.kaminski	-1313.649690	-1478.175404
0017.2000-01-17.beck	-2629.200375	-3246.208981
0006.2001-06-25.SA_and_HP	-243.604029	-230.717022
0006.2001-04-03.williams	-209.133558	-213.095841
0005.2001-02-08.kitchen	-580.593573	-660.169827
0002.2003-12-18.GP	-861.233147	-770.352186
0003.2003-12-18.GP	-590.606092	-553.871157
0013.2001-04-03.williams	-502.387335	-513.126455
0004.2001-04-02.williams	-528.052005	-550.320500
0010.2001-02-09.kitchen	-2506.278759	-2876.942231
0001.1999-12-10.kaminski	-19.294321	-20.294803
0013.1999-12-14.farmer	-1525.428787	-1658.377344
0015.1999-12-14.kaminski	-499.090298	-561.432347
0012.2003-12-19.GP	-116.937285	-105.420242
0016.2001-02-12.kitchen	-905.716164	-1057.115541
0002.2004-08-01.BG	-693.872103	-653.234167
0002.2001-05-25.SA_and_HP	-460.075407	-414.603387
0011.2003-12-18.GP	-351.079972	-310.204185
