Training Error: 0.010000	
count,zeroprob	0	0
0010.2003-12-18.GP	-15.427682	-16.996758
0010.2001-06-28.SA_and_HP	-2907.022716	-2654.647434
0001.2000-01-17.beck	-2831.014021	-3367.045996
0018.1999-12-14.kaminski	-824.585386	-835.145462
0005.1999-12-12.kaminski	-448.420625	-532.446620
0011.2001-06-29.SA_and_HP	-15258.654633	-13530.161377
0008.2004-08-01.BG	-3783.510318	-3577.328419
0009.1999-12-14.farmer	-391.302943	-460.501855
0017.2003-12-18.GP	-162.323066	-151.528016
0011.2001-06-28.SA_and_HP	-1253.875550	-1143.151907
0015.2001-07-05.SA_and_HP	-878.957735	-810.215192
0015.2001-02-12.kitchen	-4102.013856	-4502.943315
0009.2001-06-26.SA_and_HP	-1011.751810	-950.788952
0017.1999-12-14.kaminski	-308.408276	-317.714192
0012.2000-01-17.beck	-2692.864719	-3325.858681
0003.2000-01-17.beck	-1102.933301	-1341.955980
0004.2001-06-12.SA_and_HP	-884.873290	-809.747226
0008.2001-06-12.SA_and_HP	-884.873290	-809.747226
0007.2001-02-09.kitchen	-1297.409132	-1432.504834
0016.2004-08-01.BG	-530.109783	-482.313457
0015.2000-06-09.lokay	-120.720273	-126.331994
0005.1999-12-14.farmer	-961.001547	-1250.241414
0016.1999-12-15.farmer	-663.002476	-708.704869
0013.2004-08-01.BG	-998.327949	-951.878636
0005.2003-12-18.GP	-5391.186056	-4965.411470
0012.2001-02-09.kitchen	-350.973567	-378.204819
0003.2001-02-08.kitchen	-1125.846041	-1340.000121
0009.2001-02-09.kitchen	-4687.145096	-5288.538596
0006.2001-02-08.kitchen	-7745.838736	-8387.398155
0014.2003-12-19.GP	-122.070133	-114.160465
0010.1999-12-14.farmer	-820.113911	-1218.808473
0010.2004-08-01.BG	-1689.464821	-1496.515064
0014.1999-12-14.kaminski	-1616.892656	-2021.224992
0006.1999-12-13.kaminski	-364.045653	-380.140182
0011.1999-12-14.farmer	-1582.223618	-1742.596291
0013.1999-12-14.kaminski	-1206.407977	-1580.144014
0001.2001-02-07.kitchen	-296.360921	-351.229976
0008.2001-02-09.kitchen	-2379.807539	-2990.231389
0007.2003-12-18.GP	-621.153726	-581.321343
0017.2004-08-02.BG	-1994.754705	-1899.887595
0014.2004-08-01.BG	-389.210724	-371.989375
0006.2003-12-18.GP	-569.071002	-539.967684
0016.2001-07-05.SA_and_HP	-878.957735	-810.215192
0008.2003-12-18.GP	-809.784684	-730.107691
0014.2001-07-04.SA_and_HP	-3177.160509	-2899.579833
0001.2001-04-02.williams	-1035.353989	-1055.588689
0012.2000-06-08.lokay	-688.408863	-695.103089
0014.1999-12-15.farmer	-935.145906	-1097.443296
0009.2000-06-07.lokay	-1937.625720	-2221.677759
0001.1999-12-10.farmer	-24.427964	-26.823285
0008.2001-06-25.SA_and_HP	-4005.442719	-3497.708358
0017.2001-04-03.williams	-339.529642	-345.852802
0014.2001-02-12.kitchen	-906.093103	-1023.447005
0016.2001-07-06.SA_and_HP	-16926.779146	-14881.848281
0015.1999-12-15.farmer	-656.133331	-800.656579
0009.1999-12-13.kaminski	-5866.150294	-8437.745737
0001.2000-06-06.lokay	-3115.808371	-3516.630581
0011.2004-08-01.BG	-433.907459	-398.723292
0004.2004-08-01.BG	-432.126295	-412.942846
0018.2003-12-18.GP	-2681.991158	-2535.780684
0002.1999-12-13.farmer	-2329.418799	-2793.979764
0016.2003-12-19.GP	-368.191555	-341.842417
0004.1999-12-14.farmer	-1007.371425	-1361.707739
0015.2003-12-19.GP	-1092.059905	-985.698401
0006.2004-08-01.BG	-658.829531	-618.737441
0009.2003-12-18.GP	-365.136215	-340.825645
0007.1999-12-14.farmer	-463.335758	-526.666155
0005.2000-06-06.lokay	-225.288022	-226.031641
0010.1999-12-14.kaminski	-152.837378	-172.932814
0007.2000-01-17.beck	-2677.370527	-3311.344949
0003.1999-12-14.farmer	-76.059160	-93.913451
0003.2004-08-01.BG	-458.143794	-426.157101
0017.2004-08-01.BG	-123.413759	-114.317460
0013.2001-06-30.SA_and_HP	-27524.652161	-24475.623733
0003.1999-12-10.kaminski	-351.463816	-405.110896
0012.1999-12-14.farmer	-2714.327473	-3194.875785
0004.1999-12-10.kaminski	-838.331132	-966.323114
0018.2001-07-13.SA_and_HP	-2864.833874	-2687.359436
0002.2001-02-07.kitchen	-342.370150	-349.579639
0007.2004-08-01.BG	-1285.751381	-1095.396606
0012.1999-12-14.kaminski	-906.656523	-1233.885585
0005.2001-06-23.SA_and_HP	-139.286535	-129.674633
0007.1999-12-13.kaminski	-1342.355389	-1515.599046
0017.2000-01-17.beck	-2684.065797	-3317.839285
0006.2001-06-25.SA_and_HP	-248.408228	-236.946835
0006.2001-04-03.williams	-213.919107	-219.326284
0005.2001-02-08.kitchen	-592.342412	-675.528050
0002.2003-12-18.GP	-877.387790	-791.223904
0003.2003-12-18.GP	-602.003133	-568.693558
0013.2001-04-03.williams	-512.601723	-526.429444
0004.2001-04-02.williams	-538.893918	-564.471959
0010.2001-02-09.kitchen	-2559.399764	-2946.285755
0001.1999-12-10.kaminski	-19.681913	-20.800535
0013.1999-12-14.farmer	-1559.050020	-1702.190634
0015.1999-12-14.kaminski	-509.694464	-575.260617
0012.2003-12-19.GP	-119.016394	-108.115048
0016.2001-02-12.kitchen	-923.284350	-1080.086231
0002.2004-08-01.BG	-708.787920	-672.585282
0002.2001-05-25.SA_and_HP	-468.901162	-426.044299
0011.2003-12-18.GP	-357.196667	-318.113014
